Ano,Mês,Temperatura Média Mensal (°C),Precipitação Média Mensal (m)
1940,1,22.695892,0.0065325
1940,2,22.467133,0.0043686167
1940,3,22.51648,0.0024479995
1940,4,20.72586,0.0033105426
1940,5,18.328003,0.007859008
1940,6,16.496826,0.006659823
1940,7,15.799225,0.0059309453
1940,8,14.489258,0.0020763848
1940,9,16.404327,0.0054174527
1940,10,17.971924,0.0024971946
1940,11,19.672516,0.0062290765
1940,12,23.244537,0.006149763
1941,1,23.10965,0.005070056
1941,2,22.824158,0.0040049446
1941,3,21.162476,0.0036024589
1941,4,20.901123,0.006037235
1941,5,18.025238,0.0065325983
1941,6,14.777985,0.005073202
1941,7,14.496887,0.004232961
1941,8,17.440735,0.0031720016
1941,9,14.735931,0.00326346
1941,10,19.007202,0.007492748
1941,11,21.491669,0.0060219574
1941,12,22.229095,0.00580652
1942,1,23.072235,0.0053913803
1942,2,23.520477,0.0046227947
1942,3,22.026917,0.005652367
1942,4,19.30487,0.0029600733
1942,5,15.534424,0.0061230566
1942,6,12.604218,0.0017465856
1942,7,12.95163,0.0012825328
1942,8,15.695801,0.00097113295
1942,9,19.667328,0.0011573264
1942,10,20.584778,0.0026022405
1942,11,22.116486,0.0022875548
1942,12,23.221863,0.0018113495
1943,1,24.44226,0.0030807888
1943,2,23.310669,0.005114533
1943,3,23.125122,0.00292561
1943,4,19.742554,0.0018103361
1943,5,18.1456,0.0018924889
1943,6,16.12387,0.0015955527
1943,7,16.09732,0.0014025281
1943,8,13.201233,0.0025014738
1943,9,17.939056,0.002313517
1943,10,19.09253,0.004290261
1943,11,22.447601,0.0014399702
1943,12,23.580261,0.0025397227
1944,1,23.285004,0.0049792877
1944,2,23.55542,0.0040537473
1944,3,22.19516,0.0026989519
1944,4,19.898346,0.0019499899
1944,5,18.40561,0.003461227
1944,6,16.678253,0.0036015506
1944,7,17.0943,0.0012621278
1944,8,18.134918,0.0039226213
1944,9,19.792328,0.0041502435
1944,10,20.081573,0.005421757
1944,11,20.875977,0.0028287154
1944,12,22.469696,0.002557336
1945,1,22.867645,0.0048545157
1945,2,22.718811,0.007520693
1945,3,22.278168,0.0027088171
1945,4,20.62796,0.0020016893
1945,5,17.708405,0.0012263341
